,ASIN,MANUFACTURER,PRODUCT_DESCRIPTION,DESCRIPTION
71,B09GYGRB56,WeBanga,"[' Small in size but has enough room to store your cards, money, ID cards, etc. ', ' Made with good quality & reliable PU leather for long-lasting durability. ', ' Its PU construction makes it waterproof and incredibly tear-resistant. ', ' Has sling straps that can be adjusted accordingly to change the length to suit your needs. ', "" The bag is constructed with color-retention elements, so its colour won't fade over time. "", ' The zip lines and zips slide effortlessly without getting stuck or broken. ']","Crossbody Phone Bags for Women Size: 7.1""(H) x 4.37""(L) x 1.96""(W), erfect size to storage your phone, napkin paper, lipsticks, mascara, coins, cards, keys, ect. Lightweight and easy to carry. | Palay Women Crossbody Phone Bag: we offer multi-stylish printed small purse for women, fashion appearance, premium pu leather, firm double stitching edge, which owner durable polyester lining and upgraded zipper, sturdy, wear-resistant and not easy to be ripped. Improved zippers are smooth enough not to worry about stuck or separation issue. | Women's Wallet Small & Practical: cell phone crossbody purses come with 1 front phone pocket, 1 main zipper pocket, 1 bill compartment, 6 credit card slots, 2 clear ID window, large capacity can meet your daily needs, such as passport, credit cards, keys, lipsticks, headphones, tickets, cash and classify your personal small items. | Ideal Gifts For Girls: small crossbody phone bag is a wonderful choice for shopping, dating, night out, travel,working when you do not want to take too much stuff. Meanwhile, we provide you additional gift cards which fit all kind of theme, such as birthdays, anniversaries, weddings, valentine's day, mother's day, Christmas and other special events, It's a best gift for womens, lady, girls, teenage,work mom etc. | Loading EDP related metadata"
72,B071XJ6XV5,RetailEZ Pvt Ltd,"If you have loads to carry around your search ends here. Here comes a bag which has three huge compartments. Designed keeping in mind the school children with loads of books apart from lunch boxes, water bottles and projects. This bag fits all. A very sturdy and strong bag comes with two bottle pouches and a stationery organizer. Laptop compartment also present. It can also be used as an overnight or a travel backpack for a few days. Comes with the F Gear promise of quality.",Both Professional and Stylish | Large zippered main compartment with laptop sleeve up to 17”. | Adjustable straps fit perfectly over the shoulders | Size-(LxHxW) Cm-(31x46x21) Cm | It Comes With the F Gear Promise of Quality | Loading EDP related metadata
73,B085S444JV,Appario Retail Private Ltd,"[' With a slim, sleek and compact design you will love how this backpack can look small even with a spacious storage! ', ' Take your gadgets with you anywhere with this backpack, it has got allotted storage space that fits a laptop of upto 15.6 inches. ', ' Designed with great quality materials that are waterproof, tough and durable, it is also lightweight and easy to maintain. ', ' The back straps are padded to give the user maximum support and it made with anti-sweat fabric, giving you the comfort throughout the day. ', ' Featuring 2 compartments, the main compartment and a front compartment to store smaller objects/pens/thin notebooks etc. It also includes a laptop sleeve with a Velcro strap for safety. ', ' It won’t feel uneasy to carry heavy things for a longer time with this bag as it has a cushioned back support that distributes weight evenly between your shoulders and back. ', ' Be it those stormy rainy season, scorching heat, or freezing winters, this bag can endure as it is crafted, designed and made with quality and tough materials. ']","30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass. | Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics. Compatible Laptop Size 16 inch | Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body. | Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks | 1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty | Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction. | Loading EDP related metadata | See more product details"
74,B07NPXWFXX,ADISA International,"["" This sling bag from the house of ADISA is made from synthetic PU material. This sling bag is perfectly sized to store your belongings and essentials. It's spacious enough to store all your essentials with ease. Inside it has compartments divided by a fabric zipper pocket. This is a stylish sling bag perfect for parties or for casual daily use. ""]",Outer Material: PU / Synthetic Leather | Closure: Magnetic Button | No. of Compartments: 2 | No. of Pockets: 1 | Dimensions: LxWxH - 9 x 3.5 x 7 inches | Loading EDP related metadata
75,B0B1VF26KM,EcoRight,"[' A cool new box sling that sends out main character vibes because no bag is better than a sustainable, stylish and spacious all-in-one bag! ', ' A bag that carries your phone, a power bank, and all that you need for your daily adventures! ', ' Our box slings are the very bags that stick with you for a late brunch or evening errands! ', ' Bags that let you roam around hands-free and seize every moment of your day! ', ' Long-trips, sleepovers, grocery errands, this box sling is all you need, really! ']","SPRUCE UP WITH ENOUGH SPACE: Measuring 8.5"" width, 5.5"" height, 2.5"" deep (all-round gusset), carry all that you want with this chic & spacious side bag for girls. | SUSTAINABLE & WATERPROOF: These shoulder purses for women are extremely eco-friendly & made from water-repellant organic cotton canvas. The inner lining is made of water-resistant recycled PET bottles fabric & the inks used for printing are certified organic. | STYLISH & ADJUSTABLE STRAPS: With original designs that are cute & trendy, these exotic crossbody bags for women are light-weight with a YKK metal zipper & broad strap belt. They are perfect for travel or college & make great birthday gifts for her. | SIMPLE AND GENTLE WASH-CARE: Hand-wash these handbags in cold water or just wipe them out with a soft moist cloth to clean. Keep these bags for women stuffed when not in use to avoid wrinkles. Remove dust using sticky tape. | ETHICALLY MANUFACTURED: A small sling bag that sticks with you for a long time is a keeper! Each EcoRight bag is made with love in solar-powered and ethically certified manufacturing facilities in India. | Loading EDP related metadata"
76,B07FHXNPCH,The Baby world,"[' R for Rabbit Caramello Delight Diaper Bags- Smart and Fashionable Diaper Bag for Moms ', ' High-Quality Water Resistant Material: Made of Strong Oxford Fabric with its reinforced shoulder straps will help you for long-term use.Multi-Function: It is not just Diaper Bag. It so trendy and fashionable that it can be used as Backpack for regular use. It can easily accommodate 15-inch laptop with all accessories.Large Capacity: Comes with more than 9 Pockets it has the large capacity to hold everything that your little one needed for their daily use.Insulated Pockets: Caramello Diaper bag comes with Insulated Pockets to keep baby’s food at the perfect temperature for hours.Comes with Changing Mat: Caramello Delight Diaper Bags comes with Changing Mat which becomes handy for mother when needed for diaper changing for the little one.Creative Side Pockets: Accessibility is an important factor for Diaper bags. With its creative side pockets, it makes easy for Mom ']",High-Quality Water Resistant Material: Made of Strong Oxford Fabric with its reinforced shoulder straps will guarantee for long-term use. | Multi-Function: It is not just a Diaper Bag. It so trendy and fashionable that it can be used as Backpack for regular use. It can easily accommodate 15-inch laptop with all accessories. | Large Capacity: Comes with more than 9 Pockets it has a large capacity to hold everything that your little one needed for their daily use.; Insulated Pockets: Caramello Delight Diaper bag comes with Insulated Pockets to keep baby’s food at a perfect temperature for hours. | Comes with Changing Mat: Caramello Delight Diaper Bags comes with Changing Mat which becomes handy for mother when needed for diaper changing for the little one.; Closure Type: Zipper; Age Range Description: Adult | Pattern Name: Solid; Strap Type: Adjustable | Loading EDP related metadata | See more product details
77,B071XM6PSM,RetailEZ Pvt Ltd,NA,"String backpack have one main compartment is secured with drawstring closure. | Efficient to hold your essentials. | Highly water-resistant finish to save inner items from water splashes. | Strong and durable ropes. | Designed for all types of occasions: Sports, daily use, cycling etc. | Loading EDP related metadata"
78,B08CY1YXCK,Appario Retail Private Ltd,NA,"Transport your laptop, tablet, files and daily accessories safely and securely with the 16 liter HP Lightweight 100 Backpack 15. | Protect your precious 15.6-inch laptop with the padded panels. Dual pocket protection design provides dual compartments for laptops and tablets. | Special features like Back Trolly sleeve and Padded Grab handle are added advantages of the backpack. | The HP 100 Lightweight backpak comes with Double Large compartments To accommodate your 15.6-inch laptop and other stuff, it comes with a spacious compartment and front pocket with organization panel and fabric side pockets. Furthermore, the compression straps add to its utility while the grab handle ensures a comfortable carry. | Rest easy with one-year limited warranty from the manufacturer. | Loading EDP related metadata"
79,B01M5DGMZ9,RK World Infocom Pvt Ltd,"PIGEON Your Breastfeeding Companion The milk you express for your baby is very precious, therefore it is very important to store it carefully and keep it well preserved. PIGEON's Breastmilk Storage Bags are pre-sterilized with gamma ray and are BPA-Free. It has a convenient pour spout for transferring breastmilk, a waterproof ""write-on"" tab for mothers and a unique double zipper seal for extra security. For ease of use, the storage bags are self-standing and milk can also be thawed easily by storing flat in the freezer.",Pigeon Breast Milk Storage Bag is convenient for working women who wish to continue the breast feeding for their babies | Pigeon Breast Milk Storage Bag comes with double protection with double zipper zeal | Pigeon Breast Milk Storage Bag is having hygeinic Storage and Pre Sterilized with Gamma Rays | Keep freshly pumped breastmilk till 24 hours | Easy to use in freezer & refrizerator both | Loading EDP related metadata | See more product details
80,B08R7S55H4,Appario Retail Private Ltd,NA,"Style meets Function: Designed for 15.6” Lenovo laptops, the backpack walks the line between function and form. It utilizes durable materials, and robust features set to cater to its audience's every need. Ideal for professionals looking for a stylish and versatile backpack for a variety of occasions | Sturdy & Durable: Fleece-lined laptop compartment that fights dust and damage. Water-resistant, joint material design and tough coated base help withstand daily wear and tear | Travel friendly backpack with Uncompromising storage space for devices and essentials: The backpack comes with a ventilated and well-padded back panel for extra breathability. Adjustable shoulder straps offer the perfect fit. Spacious main compartment and Stretchy polyester side pockets offer quick access to your essentials | Styled in classic dark blue and dark grey, the colors accentuate the sturdy materials the bag is constructed of | Loading EDP related metadata"
